items,k_user_id,redeemed_at,saleAmount,user_id
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/j.jpg', 'key': '-LPQb61tpBZq6xPMOc1q', 'name': 'गुड़', 'status': True}, {'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}, {'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",23832,2019-02-06 04:02:21.980,30,2554
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:36:28.788,20,22356
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:36:28.801,20,22356
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:36:28.809,20,22356
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:36:28.817,20,22356
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",2746,2019-02-06 04:37:24.882,20,23245
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",2746,2019-02-06 04:37:24.892,20,23245
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",2746,2019-02-06 04:37:24.904,20,23245
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:38:27.826,20,23867
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:38:27.831,20,23867
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:38:27.842,20,23867
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:39:35.214,20,23771
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:39:35.221,20,23771
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:39:35.227,20,23771
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:39:35.236,20,23771
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:40:41.992,20,13170
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:40:42.004,20,13170
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/MD.png', 'key': '-LPQaSQd38FTtpwxE-Jl', 'name': 'मसूर दाल', 'status': True}]",2746,2019-02-06 04:40:42.010,20,13170
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/G.jpg', 'key': '-LPQbCkFElq7gPAA2kgY', 'name': 'मूंगफली', 'status': True}]",2746,2019-02-06 05:11:08.347,20,4529
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",2746,2019-02-06 06:11:33.102,20,10520
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",2746,2019-02-06 06:11:33.110,20,10520
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",2746,2019-02-06 06:11:33.118,20,10520
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",2746,2019-02-06 06:11:33.124,20,10520
"[{'imageUrl': 'https://d3f32wbgsn2fbi.cloudfront.net/eggs.jpg', 'key': '-LPQ_S96CqbXnBu0kL-T', 'name': 'अंडा', 'status': True}]",2746,2019-02-06 06:18:27.010,20,20200
